transcode-worker-2  | {"jobId":"2","startedAt":1782935306213,"finishedAt":1782935388626,"durationMs":82413}
transcode-worker-4  | {"jobId":"3","startedAt":1782935306393,"finishedAt":1782935388834,"durationMs":82441}
transcode-worker-3  | {"jobId":"1","startedAt":1782935306167,"finishedAt":1782935388837,"durationMs":82670}
transcode-worker-1  | {"jobId":"4","startedAt":1782935306498,"finishedAt":1782935388993,"durationMs":82495}
transcode-worker-3  | {"jobId":"7","startedAt":1782935388837,"finishedAt":1782935484221,"durationMs":95384}
transcode-worker-4  | {"jobId":"6","startedAt":1782935388834,"finishedAt":1782935484586,"durationMs":95752}
transcode-worker-2  | {"jobId":"5","startedAt":1782935388626,"finishedAt":1782935484597,"durationMs":95971}
transcode-worker-1  | {"jobId":"8","startedAt":1782935388993,"finishedAt":1782935485222,"durationMs":96229}
transcode-worker-3  | {"jobId":"9","startedAt":1782935484221,"finishedAt":1782935583331,"durationMs":99110}
transcode-worker-2  | {"jobId":"11","startedAt":1782935484597,"finishedAt":1782935583614,"durationMs":99017}
transcode-worker-4  | {"jobId":"10","startedAt":1782935484586,"finishedAt":1782935583787,"durationMs":99201}
transcode-worker-1  | {"jobId":"12","startedAt":1782935485222,"finishedAt":1782935584078,"durationMs":98856}
transcode-worker-3  | {"jobId":"13","startedAt":1782935583331,"finishedAt":1782935683660,"durationMs":100329}
transcode-worker-2  | {"jobId":"14","startedAt":1782935583614,"finishedAt":1782935684257,"durationMs":100643}
transcode-worker-1  | {"jobId":"16","startedAt":1782935584078,"finishedAt":1782935684493,"durationMs":100415}
transcode-worker-4  | {"jobId":"15","startedAt":1782935583787,"finishedAt":1782935684610,"durationMs":100823}
transcode-worker-3  | {"jobId":"17","startedAt":1782935683660,"finishedAt":1782935786425,"durationMs":102765}
transcode-worker-1  | {"jobId":"19","startedAt":1782935684493,"finishedAt":1782935787084,"durationMs":102591}
transcode-worker-2  | {"jobId":"18","startedAt":1782935684257,"finishedAt":1782935787208,"durationMs":102951}
transcode-worker-4  | {"jobId":"20","startedAt":1782935684610,"finishedAt":1782935787581,"durationMs":102971}
transcode-worker-3  | {"jobId":"21","startedAt":1782935786425,"finishedAt":1782935890618,"durationMs":104193}
transcode-worker-4  | {"jobId":"24","startedAt":1782935787581,"finishedAt":1782935892093,"durationMs":104512}
transcode-worker-1  | {"jobId":"22","startedAt":1782935787084,"finishedAt":1782935892118,"durationMs":105034}
transcode-worker-2  | {"jobId":"23","startedAt":1782935787208,"finishedAt":1782935892120,"durationMs":104912}
